|6.6.6
luca3_1.tab                                                                                         
           2
T(K)    
   773.00000000000000     
   2.0202020202020203     
         100
P(bar)  
   2000.0000000000000     
   80.808080808080803     
         100
           4
T(K)           P(bar)         C1Gt(HP)       Gt(HP),vo%    
  773.0000       2000.000                NaN            NaN
  775.0202       2000.000      0.8648518E-01  0.2668229    
  777.0404       2000.000      0.8520803E-01  0.3342446    
  779.0606       2000.000      0.8315138E-01  0.6134297    
  781.0808       2000.000      0.8315138E-01  0.6134226    
  783.1010       2000.000      0.8118869E-01  0.8041786    
  785.1212       2000.000      0.7705306E-01  0.9316886    
  787.1414       2000.000      0.7705306E-01  0.9316780    
  789.1616       2000.000      0.7807002E-01   1.134496    
  791.1818       2000.000      0.7619242E-01   1.236013    
  793.2020       2000.000      0.8987714E-01   1.937131    
  795.2222       2000.000      0.9891426E-01   1.947922    
  797.2424       2000.000      0.9755220E-01   1.894021    
  799.2626       2000.000      0.9784132E-01   1.826987    
  801.2828       2000.000      0.9622751E-01   1.784596    
  803.3030       2000.000      0.9506229E-01   1.730929    
  805.3232       2000.000      0.9447392E-01   1.673663    
  807.3434       2000.000      0.9334652E-01   1.631563    
  809.3636       2000.000      0.9263070E-01   1.569924    
  811.3838       2000.000      0.9191739E-01   1.516042    
  813.4040       2000.000      0.9199055E-01   1.456247    
  815.4242       2000.000      0.9111951E-01   1.399104    
  817.4444       2000.000      0.9109573E-01   1.340505    
  819.4646       2000.000      0.9049596E-01   1.284078    
  821.4848       2000.000      0.8986048E-01   1.228745    
  823.5051       2000.000      0.8918612E-01   1.174477    
  825.5253       2000.000      0.8872898E-01   1.117038    
  827.5455       2000.000      0.8835329E-01   1.058032    
  829.5657       2000.000      0.8723703E-01   1.000601    
  831.5859       2000.000      0.8708238E-01  0.9442755    
  833.6061       2000.000      0.8685385E-01  0.8865873    
  835.6263       2000.000      0.8587704E-01  0.8309826    
  837.6465       2000.000      0.8476984E-01  0.7756337    
  839.6667       2000.000      0.8424831E-01  0.7170077    
  841.6869       2000.000      0.8363708E-01  0.6589088    
  843.7071       2000.000      0.8291315E-01  0.6013304    
  845.7273       2000.000      0.8235348E-01  0.5397693    
  847.7475       2000.000      0.8181904E-01  0.4826719    
  849.7677       2000.000      0.8128424E-01  0.4160331    
  851.7879       2000.000      0.8066639E-01  0.3554090    
  853.8081       2000.000      0.7988473E-01  0.2956235    
  855.8283       2000.000      0.7935823E-01  0.2177116    
  857.8485       2000.000      0.7871493E-01  0.1730305    
  859.8687       2000.000      0.7381627E-01  0.8832999E-01
  861.8889       2000.000      0.6608856E-01  0.4515350E-01
  863.9091       2000.000                NaN            NaN
  865.9293       2000.000                NaN            NaN
  867.9495       2000.000                NaN            NaN
  869.9697       2000.000                NaN            NaN
  871.9899       2000.000                NaN            NaN
  874.0101       2000.000                NaN            NaN
  876.0303       2000.000                NaN            NaN
  878.0505       2000.000                NaN            NaN
  880.0707       2000.000                NaN            NaN
  882.0909       2000.000                NaN            NaN
  884.1111       2000.000                NaN            NaN
  886.1313       2000.000                NaN            NaN
  888.1515       2000.000                NaN            NaN
  890.1717       2000.000                NaN            NaN
  892.1919       2000.000                NaN            NaN
  894.2121       2000.000                NaN            NaN
  896.2323       2000.000                NaN            NaN
  898.2525       2000.000                NaN            NaN
  900.2727       2000.000                NaN            NaN
  902.2929       2000.000                NaN            NaN
  904.3131       2000.000                NaN            NaN
  906.3333       2000.000                NaN            NaN
  908.3535       2000.000                NaN            NaN
  910.3737       2000.000                NaN            NaN
  912.3939       2000.000                NaN            NaN
  914.4141       2000.000                NaN            NaN
  916.4343       2000.000                NaN            NaN
  918.4545       2000.000                NaN            NaN
  920.4747       2000.000                NaN            NaN
  922.4949       2000.000                NaN            NaN
  924.5152       2000.000                NaN            NaN
  926.5354       2000.000                NaN            NaN
  928.5556       2000.000                NaN            NaN
  930.5758       2000.000                NaN            NaN
  932.5960       2000.000                NaN            NaN
  934.6162       2000.000                NaN            NaN
  936.6364       2000.000                NaN            NaN
  938.6566       2000.000                NaN            NaN
  940.6768       2000.000                NaN            NaN
  942.6970       2000.000                NaN            NaN
  944.7172       2000.000                NaN            NaN
  946.7374       2000.000                NaN            NaN
  948.7576       2000.000                NaN            NaN
  950.7778       2000.000                NaN            NaN
  952.7980       2000.000                NaN            NaN
  954.8182       2000.000      0.6701213E-01  0.3912240E-01
  956.8384       2000.000      0.6741828E-01  0.1105683    
  958.8586       2000.000      0.6843282E-01  0.2307223    
  960.8788       2000.000      0.6887174E-01  0.3187830    
  962.8990       2000.000      0.6923879E-01  0.4056415    
  964.9192       2000.000      0.7054428E-01  0.5151436    
  966.9394       2000.000      0.7065520E-01  0.6070906    
  968.9596       2000.000      0.7141574E-01  0.7143441    
  970.9798       2000.000      0.7160693E-01  0.8118697    
  973.0000       2000.000      0.7203053E-01  0.8763170    
  773.0000       2080.808      0.6322470E-01  0.2009900    
  775.0202       2080.808      0.8648518E-01  0.2668480    
  777.0404       2080.808      0.8713608E-01  0.2184304    
  779.0606       2080.808      0.8479083E-01  0.5126856    
  781.0808       2080.808      0.8479083E-01  0.5126797    
  783.1010       2080.808      0.8284427E-01  0.7221873    
  785.1212       2080.808      0.7488340E-01  0.8658971    
  787.1414       2080.808      0.7488340E-01  0.8658872    
  789.1616       2080.808      0.7956640E-01   1.035140    
  791.1818       2080.808      0.7619242E-01   1.236127    
  793.2020       2080.808      0.7619242E-01   1.236112    
  795.2222       2080.808      0.8809238E-01   2.061327    
  797.2424       2080.808      0.1025503       2.104838    
  799.2626       2080.808      0.9956961E-01   2.064640    
  801.2828       2080.808      0.1001650       1.996583    
  803.3030       2080.808      0.9976378E-01   1.936603    
  805.3232       2080.808      0.9744975E-01   1.896063    
  807.3434       2080.808      0.9758522E-01   1.835997    
  809.3636       2080.808      0.9685596E-01   1.777289    
  811.3838       2080.808      0.9711517E-01   1.711559    
  813.4040       2080.808      0.9666164E-01   1.656769    
  815.4242       2080.808      0.9609094E-01   1.591414    
  817.4444       2080.808      0.9617654E-01   1.539738    
  819.4646       2080.808      0.9584751E-01   1.480002    
  821.4848       2080.808      0.9465082E-01   1.425645    
  823.5051       2080.808      0.9407059E-01   1.368609    
  825.5253       2080.808      0.9250439E-01   1.317733    
  827.5455       2080.808      0.9341835E-01   1.248276    
  829.5657       2080.808      0.9247029E-01   1.192688    
  831.5859       2080.808      0.9128094E-01   1.140489    
  833.6061       2080.808      0.9057401E-01   1.082157    
  835.6263       2080.808      0.8897686E-01   1.031210    
  837.6465       2080.808      0.8859056E-01  0.9741914    
  839.6667       2080.808      0.8828405E-01  0.9158336    
  841.6869       2080.808      0.8806496E-01  0.8558088    
  843.7071       2080.808      0.8744412E-01  0.7976780    
  845.7273       2080.808      0.8682423E-01  0.7364107    
  847.7475       2080.808      0.8659316E-01  0.6752785    
  849.7677       2080.808      0.8531664E-01  0.6178925    
  851.7879       2080.808      0.8534619E-01  0.5553206    
  853.8081       2080.808      0.8516557E-01  0.4959284    
  855.8283       2080.808      0.8615678E-01  0.4341057    
  857.8485       2080.808      0.8227491E-01  0.3778194    
  859.8687       2080.808      0.8598356E-01  0.2954339    
  861.8889       2080.808      0.8431014E-01  0.2462541    
  863.9091       2080.808      0.7884609E-01  0.1399468    
  865.9293       2080.808      0.7707836E-01  0.1087012    
  867.9495       2080.808      0.6819904E-01  0.4877544E-01
  869.9697       2080.808                NaN            NaN
  871.9899       2080.808                NaN            NaN
  874.0101       2080.808                NaN            NaN
  876.0303       2080.808                NaN            NaN
  878.0505       2080.808                NaN            NaN
  880.0707       2080.808                NaN            NaN
  882.0909       2080.808                NaN            NaN
  884.1111       2080.808                NaN            NaN
  886.1313       2080.808                NaN            NaN
  888.1515       2080.808                NaN            NaN
  890.1717       2080.808                NaN            NaN
  892.1919       2080.808                NaN            NaN
  894.2121       2080.808                NaN            NaN
  896.2323       2080.808                NaN            NaN
  898.2525       2080.808                NaN            NaN
